ts,question,decision,had_answer,latency_ms
2025-10-04T00:14:28.541171,Who is Tesla’s CEO?,graph,1,12
2025-10-04T00:16:30.352532,Earnings calls” or “Tesla 2024,graph,1,0
2025-10-04T00:16:39.777209,Tesla 2024,graph,1,0
2025-10-04T01:23:24.670053,Tesla 2024,graph,1,12
2025-10-04T01:23:45.523398,who runs tesla,graph,1,15
2025-10-04T01:28:17.332540,CEO,graph,1,10
2025-10-04T01:28:27.795987,Side Effects,graph,1,9
2025-10-04T01:36:40.486502,What are earnings calls?,vector,1,15
2025-10-04T01:56:22.777499,97B + 20% ,graph,1,0
2025-10-04T01:56:42.437831,(2 + 3) * 4^2,math,1,0
2025-10-04T01:56:55.798307,97B + 20%,graph,1,0
2025-10-04T01:57:14.238152,What are earnings calls?,vector,1,12
2025-10-04T01:57:41.728321,97 + 20%,graph,1,0
2025-10-04T01:57:46.941025,97B + 20%,graph,1,0
2025-10-04T02:46:37.914847,97B + 20%,math,1,0
2025-10-04T03:04:54.556668,Tesla 2024 revenue + 20%,graph,0,13
2025-10-04T03:20:06.814388,Tesla 2024 revenue + 20% ,vector,1,14
2025-10-04T03:24:24.575264,Tesla 2024 revenue + 20% ,vector,1,4
2025-10-04T03:24:25.879459,Tesla 2024 revenue + 20% ,vector,1,3
2025-10-04T03:24:58.376926,97B + 20%,vector,1,2
2025-10-04T03:25:07.634650,97B + 20%,math,1,0
2025-10-04T03:25:22.381223,Tesla 2024 revenue + 20% ,graph,1,13
2025-10-04T03:25:43.030764,Tesla 2024 revenue - 10% 	,graph,1,18
2025-10-04T03:27:26.130314,Summarize Tesla 2024,vector,1,2
2025-10-04T03:27:41.199590,Who is Tesla’s CEO?,graph,1,9
2025-10-04T03:27:57.441365,97B + 20%,graph,1,0
2025-10-04T03:28:02.307035,97B + 20%,math,1,0
2025-10-04T03:36:19.675282,97B + 20% ,math,1,0
2025-10-04T03:36:32.215807,97B + 20% ,vector,1,19
2025-10-04T03:36:35.295545,97B + 20% ,graph,1,0
2025-10-04T03:36:39.023626,97B + 20% ,math,1,0
2025-10-04T03:36:48.784775,Tesla 2024 revenue + 20% ,graph,1,11
2025-10-04T03:36:56.846009,Tesla 2024 revenue + 20% ,graph,1,19
2025-10-04T03:37:02.492284,Tesla 2024 revenue + 20% ,vector,1,3
2025-10-04T03:37:53.044934,97B + 20%,math,1,0
2025-10-04T03:41:13.779998,97B + 20%,math,1,0
2025-10-04T03:42:53.786676,97B + 20%,vector,1,3
2025-10-04T03:42:57.368705,97B + 20%,math,1,0
2025-10-04T03:45:24.210819,97B + 20%,math,1,0
2025-10-04T03:45:38.432147,97B - 20%,math,1,0
2025-10-04T03:47:44.279879,97B + 20%,math,1,0
2025-10-04T03:51:20.184799,97B + 20% ,math,1,0
2025-10-04T03:51:59.674249,97B + 20%,math,1,0
2025-10-04T03:55:30.785784,97B - 20%,graph,1,13
2025-10-04T03:58:15.166119,97B - 20%,vector,1,0
2025-10-04T04:01:06.548871,Who is Tesla’s CEO?,graph,1,10
2025-10-04T04:01:27.559021,Who is Tesla’s CEO?,graph,1,16
2025-10-04T04:02:50.113406,97B + 20%,vector,1,0
2025-10-04T04:05:22.627000,97B - 20%,vector,1,0
